EXP,NAME,TYPE,SUBT,RARITY,COLOR,COLORS,MANA,CMC,Legendary,P,T,OBSERVACION,FOIL,,TOTAL,10404,,,SUBTIPO,1491,% SD,,RAREZA,10390,%,,COLOR,10404,%,,COLORS,1744,%,% SD,,MV,10394,%,,Crea/MV,4779,%,% SD,,,
J22,Towering Gibbon,Creature,,Uncommon,Green,,3G,4,,*,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J22,Infernal Idol,Artifact,,Common,Artifact,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J22,"Mizzix, Replica Rider",Creature,,Rare,Red,,4R,5,Legendary,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMP,Blessed Sanctuary ,Enchantment,,Rare,White,,3WW,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMP,Brightmare,Creature,,Uncommon,White,,2U,3,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMP,Emiel the Blessed,Creature,,Mythic,White,,2WW,4,Legendary,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMP,Release the Dogs,Sorcery,,Uncommon,White,,3W,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMP,Trusty Retriever,Creature,,Common,White,,3W,4,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMP,"Inniaz, the Gale Force",Creature,,Rare,Blue,,3UU,5,Legendary,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMP,Scholar of the Lost Trove,Creature,,Rare,Blue,,5UU,7,,5,5,PROMO,FOIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMP,"Kels, Fight Fixer",Creature,,Rare,Black,,2BB,4,Legendary,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMP,Nocturnal Feeder,Creature,,Common,Black,,2B,3,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMP,Immolating Gyre,Sorcery,,Mythic,Red,,4RR,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMP,Living Lightning,Creature,,Uncommon,Red,,2R,3,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMP,"Sethron, Hurloon General ",Creature,,Rare,Red,,3RR,5,Legendary,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMP,Spiteful Prankster,Creature,,Uncommon,Red,,2R,3,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMP,"Zurzoth, Chaos Rider",Creature,,Rare,Red,,2R,3,Legendary,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMP,Neyith of the Dire Hunt,Creature,,Rare,Green,,2GG,4,Legendary,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Aegis of the Gods,Creature,Enchantment,Rare,White,,1W,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Ajani's Presence,Instant,,Common,White,,W,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Armament of Nyx,Enchantment,Aura,Common,White,,2W,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Banishing Light,Enchantment,,Uncommon,White,,2W,3,,,,C15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Dawnbringer Charioteers,Creature,,Rare,White,,2WW,4,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Deicide,Instant,,Rare,White,,1W,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Dictate of Heliod,Enchantment,,Rare,White,,3WW,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Mortal Obstinacy,Enchantment,Aura,Common,White,,W,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Nyx-Fleece Ram,Creature,Enchantment,Uncommon,White,,1W,2,,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Supply-Line Cranes,Creature,,Common,White,,3WW,5,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Countermand,Instant,,Common,Blue,,2UU,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Dakra Mystic,Creature,,Uncommon,Blue,,U,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Font of Fortunes ,Enchantment,,Common,Blue,,1U,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Hour of Need,Instant,,Uncommon,Blue,,2U,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Hypnotic Siren,Creature,Enchantment,Rare,Blue,,U,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Interpret the Signs,Sorcery,,Uncommon,Blue,,5U,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Pin to the Earth ,Enchantment,Aura,Common,Blue,,1U,2,,,,,FOIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Polymorphous Rush,Instant,,Rare,Blue,,2U,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Pull from the Deep ,Sorcery,,Uncommon,Blue,,2UU,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Thassa's Ire,Enchantment,,Uncommon,Blue,,U,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Agent of Erebos,Creature,Enchantment,Uncommon,Black,,3B,4,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Brain Maggot,Creature,Enchantment,Uncommon,Black,,1B,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Cast into Darkness,Enchantment,Aura,Common,Black,,1B,2,,,,,FOIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Cruel Feeding,Instant,,Common,Black,,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Dictate of Erebos,Enchantment,,Rare,Black,,3BB,5,,,,LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Doomwake Giant,Creature,Enchantment,Rare,Black,,4B,5,,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Extinguish All Hope,Sorcery,,Rare,Black,,4BB,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Felhide Petrifier,Creature,,Uncommon,Black,,2B,3,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Font of Return,Enchantment,,Common,Black,,1B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Nightmarish End,Instant,,Uncommon,Black,,2B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Nyx Infusion,Enchantment,Aura,Common,Black,,2B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Pharika's Chosen,Creature,,Common,Black,,B,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Ritual of the Returned,Instant,,Uncommon,Black,,3B,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Silence the Believers,Instant,,Rare,Black,,2BB,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Spiteful Blow,Sorcery,,Uncommon,Black,,4BB,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Worst Fears,Sorcery,,Mythic,Black,,7B,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Bearer of the Heavens,Creature,,Rare,Red,,7R,8,,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Cyclops of Eternal Fury ,Creature,Enchantment,Uncommon,Red,,4RR,6,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Dictate of the Twin Gods,Enchantment,,Rare,Red,,3RR,5,,,,PROMO,FOIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Eidolon of the Great Revel,Creature,Enchantment,Rare,Red,,RR,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Flamespeaker's Will,Enchantment,Aura,Common,Red,,R,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Harness by Force ,Sorcery,,Rare,Red,,1RR,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Mogis's Warhound ,Creature,Enchantment,Uncommon,Red,,1R,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Prophetic Flamespeaker,Creature,,Mythic,Red,,1RR,3,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Rollick of Abandon,Sorcery,,Uncommon,Red,,3RR,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Twinflame,Sorcery,,Rare,Red,,1R,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Bassara Tower Archer,Creature,,Uncommon,Green,,GG,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Consign to Dust,Instant,,Uncommon,Green,,2G,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Desecration Plague,Sorcery,,Common,Green,,3G,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Eidolon of Blossoms,Creature,Enchantment,Rare,Green,,2GG,4,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Hydra Broodmaster,Creature,,Rare,Green,,4GG,6,,7,7,,FOIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Reviving Melody,Sorcery,,Uncommon,Green,,2G,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Setessan Tactics,Instant,,Rare,Green,,1G,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Fleetfeather Cockatrice,Creature,,Uncommon,Gold,Green/Blue,3GU,5,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Nyx Weaver,Creature,,Uncommon,Gold,Black/Green,1BG,3,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Stormchaser Chimera,Creature,,Uncommon,Gold,Blue/Red,2UR,4,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Underworld Coinsmith,Creature,Enchantment,Uncommon,Gold,White/Black,WB,2,,2,2,C15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOU,Deserter's Quarters,Artifact,,Uncommon,Artifact,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,Ancestor's Chosen,Creature,,Uncommon,White,,5WW,7,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,Battle Screech,Sorcery,,Uncommon,White,,2WW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,Benevolent Bodyguard ,Creature,,Common,White,,W,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,Cagemail,Enchantment,Aura,Common,White,,1W,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,Chastise,Instant,,Uncommon,White,,3W,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,Funeral Pyre,Instant,,Common,White,,W,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,Nomad Mythmaker,Creature,,Rare,White,,2W,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,Prismatic Strands,Instant,,Common,White,,2W,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,Ray of Revelation,Instant,,Common,White,,1W,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,Silver Seraph,Creature,,Rare,White,,5WWW,8,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,Unquestioned Authority,Enchantment,Aura,Uncommon,White,,2W,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,Envelop,Instant,,Common,Blue,,U,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,Flash of Insight,Instant,,Uncommon,Blue,,X1U,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,Keep Watch,Instant,,Common,Blue,,2U,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,Mental Note,Instant,,Common,Blue,,U,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,Spelljack,Instant,,Rare,Blue,,3UUU,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,Wormfang Drake,Creature,,Common,Blue,,2U,3,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,Grave Consequences,Instant,,Uncommon,Black,,1B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,Stitch Together,Sorcery,,Uncommon,Black,,BB,2,,,,LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,Toxic Stench,Instant,,Common,Black,,1B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,Arcane Teachings,Enchantment,Aura,Common,Red,,2R,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,Breaking Point,Sorcery,,Rare,Red,,1RR,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,Browbeat,Sorcery,,Uncommon,Red,,2R,3,,,,Otra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,Goretusk Firebeast,Creature,,Common,Red,,5R,6,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,"Jeska, Warrior Adept",Creature,,Rare,Red,,2RR,4,Legendary,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,Lightning Surge,Sorcery,,Rare,Red,,3RR,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,Swelter,Sorcery,,Uncommon,Red,,3R,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,Swirling Sandstorm,Sorcery,,Common,Red,,3R,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,Crush of Wurms,Sorcery,,Rare,Green,,6GGG,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,Elephant Guide,Enchantment,Aura,Uncommon,Green,,2G,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,Grizzly Fate,Sorcery,,Uncommon,Green,,3GG,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,Krosan Reclamation,Instant,,Uncommon,Green,,1G,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,Nantuko Tracer,Creature,,Common,Green,,1G,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,Phantom Centaur,Creature,,Uncommon,Green,,2GG,4,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,Phantom Nantuko ,Creature,,Rare,Green,,2G,3,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,Seedtime,Instant,,Rare,Green,,1G,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,Serene Sunset,Instant,,Uncommon,Green,,XG,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,Sudden Strength ,Instant,,Common,Green,,3G,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU,Nantuko Monastery,Land,,Uncommon,Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Bound in Gold,Enchantment,Aura,Common,White,,2W,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Clarion Spirit,Creature,,Uncommon,White,,1W,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Divine Gambit,Sorcery,,Uncommon,White,,WW,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Doomskar,Sorcery,,Rare,White,,3WW,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Glorious Protector,Creature,,Rare,White,,2WW,4,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Iron Verdict,Instant,,Common,White,,2W,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Kaya's Onslaught,Instant,,Uncommon,White,,2W,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Master Skald,Creature,,Common,White,,4W,5,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,"Reidane, God of the Worthy",Creature,,Rare,White,,2W,3,Legendary,2,3,FUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Righteous Valkyrie,Creature,,Rare,White,,2W,3,,2,4,PACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Rune of Sustenance ,Enchantment,Rune,Uncommon,White,,1W,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,"Sigrid, God-Favored",Creature,,Rare,White,,1WW,3,Legendary,2,2,PRE,FOIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Spectral Steel,Enchantment,Aura,Uncommon,White,,1W,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,"Alrund, God of the Cosmos",Creature,,Mythic,Blue,,3UU,5,Legendary,1,1,FUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Behold the Multiverse,Instant,,Common,Blue,,3U,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Bind the Monster,Enchantment,Aura,Common,Blue,,U,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,"Cosima, God of the Voyage",Creature,,Rare,Blue,,2U,3,Legendary,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cosmos Charger,Creature,,Rare,Blue,,3U,4,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cyclone Summoner,Creature,,Rare,Blue,,5UU,7,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Depart the Realm,Instant,,Common,Blue,,1U,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Glimpse the Cosmos,Sorcery,,Uncommon,Blue,,1U,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Inga Rune-Eyes,Creature,,Uncommon,Blue,,3U,4,Legendary,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Mists of Littjara,Enchantment,Aura,Common,Blue,,1U,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Mystic Reflection,Instant,,Rare,Blue,,1U,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,"Orvar, the All-Form",Creature,,Mythic,Blue,,3U,4,Legendary,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Ravenform,Sorcery,,Common,Blue,,2U,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Reflections of Littjara,Enchantment,,Rare,Blue,,4U,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Run Ashore,Instant,,Common,Blue,,4UU,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Rune of Flight,Enchantment,Rune,Uncommon,Blue,,1U,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Saw It Coming,Instant,,Uncommon,Blue,,1UU,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Blood on the Snow,Sorcery,Snow,Rare,Black,,4BB,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Crippling Fear,Sorcery,,Rare,Black,,2BB,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Demonic Gifts,Instant,,Common,Black,,1B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Dogged Pursuit,Enchantment,,Common,Black,,3B,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Draugr Necromancer,Creature,Snow,Rare,Black,,3B,4,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Draugr Recruiter,Creature,,Common,Black,,3B,4,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,"Egon, God of Death",Creature,,Rare,Black,,2B,3,Legendary,6,6,FUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Elderfang Disciple,Creature,,Common,Black,,1B,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Eradicator Valkyrie,Creature,,Mythic,Black,,2BB,4,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Feed the Serpent,Instant,,Common,Black,,2BB,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Haunting Voyage,Sorcery,,Mythic,Black,,4BB,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Poison the Cup,Instant,,Uncommon,Black,,1BB,3,,,,PROMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Raise the Draugr,Instant,,Common,Black,,1B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Return Upon the Tide,Sorcery,,Uncommon,Black,,4B,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Rise of the Dread Marn,Instant,,Rare,Black,,2B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Rune of Mortality,Enchantment,Rune,Uncommon,Black,,1B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Skull Raid,Sorcery,,Common,Black,,3B,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Tergrid's Shadow,Instant,,Uncommon,Black,,3BB,5,,,,,FOIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,"Varragoth, Bloodsky Sire",Creature,,Rare,Black,,2B,3,Legendary,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Vengeful Reaper,Creature,,Uncommon,Black,,3B,4,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Weigh Down,Sorcery,,Common,Black,,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Withercrown,Enchantment,Aura,Common,Black,,1B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Arni Brokenbrow,Creature,,Rare,Red,,2R,3,Legendary,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,"Birgi, God of Storytelling",Creature,,Rare,Red,,2R,3,Legendary,3,3,FUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Calamity Bearer,Creature,,Rare,Red,,2RR,4,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cinderheart Giant,Creature,,Common,Red,,5RR,7,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Crush the Weak,Sorcery,,Uncommon,Red,,2R,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Demon Bolt,Instant,,Common,Red,,2R,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Doomskar Titan,Creature,,Uncommon,Red,,4RR,6,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Dragonkin Berserker,Creature,,Rare,Red,,1R,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Dual Strike,Instant,,Uncommon,Red,,RR,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Frost Bite,Instant,Snow,Common,Red,,R,1,,,,PROMO,FOIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Goldspan Dragon,Creature,,Mythic,Red,,3RR,5,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Provoke the Trolls,Instant,,Uncommon,Red,,3R,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Quakebringer,Creature,,Mythic,Red,,3RR,5,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Rune of Speed,Enchantment,Rune,Uncommon,Red,,1R,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Seize the Spoils,Sorcery,,Common,Red,,2R,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Shackles of Treachery,Sorcery,,Common,Red,,2R,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Smashing Success,Instant,,Common,Red,,3R,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Squash,Instant,,Common,Red,,4R,5,,,,,FOIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Tibalt's Trickery,Instant,,Rare,Red,,1R,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,"Toralf, God of Fury",Creature,,Mythic,Red,,2RR,4,Legendary,5,4,FUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Tundra Fumarole,Sorcery,Snow,Rare,Red,,1RR,3,,,,EXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Tuskeri Firewalker,Creature,,Common,Red,,2R,3,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
